patriot_sku,name,price_day,competitor,competitor_price,diff_abs,diff_pct,alert_flag
SKU0001,10' Tilt Trailer,60.0,Sunbelt Rentals,,,,False
SKU0001,10' Tilt Trailer,60.0,United Rentals,,,,False
SKU0001,10' Tilt Trailer,60.0,Farmington Rental,,,,False
SKU0001,10' Tilt Trailer,60.0,Mike's Rentals,,,,False
SKU0001,10' Tilt Trailer,60.0,Fabick Rents,,,,False
SKU0002,14' Load Trail 14...,120.0,Sunbelt Rentals,,,,False
SKU0002,14' Load Trail 14...,120.0,United Rentals,,,,False
SKU0002,14' Load Trail 14...,120.0,Farmington Rental,,,,False
SKU0002,14' Load Trail 14...,120.0,Mike's Rentals,,,,False
SKU0002,14' Load Trail 14...,120.0,Fabick Rents,,,,False
SKU0003,14' Rice Trailer,70.0,Sunbelt Rentals,,,,False
SKU0003,14' Rice Trailer,70.0,United Rentals,,,,False
SKU0003,14' Rice Trailer,70.0,Farmington Rental,,,,False
SKU0003,14' Rice Trailer,70.0,Mike's Rentals,,,,False
SKU0003,14' Rice Trailer,70.0,Fabick Rents,,,,False
SKU0004,14k GVWR Rice Equ...,85.0,Sunbelt Rentals,,,,False
SKU0004,14k GVWR Rice Equ...,85.0,United Rentals,,,,False
SKU0004,14k GVWR Rice Equ...,85.0,Farmington Rental,,,,False
SKU0004,14k GVWR Rice Equ...,85.0,Mike's Rentals,,,,False
SKU0004,14k GVWR Rice Equ...,85.0,Fabick Rents,,,,False
SKU0005,14k Rice Equipmen...,85.0,Sunbelt Rentals,,,,False
SKU0005,14k Rice Equipmen...,85.0,United Rentals,,,,False
SKU0005,14k Rice Equipmen...,85.0,Farmington Rental,,,,False
SKU0005,14k Rice Equipmen...,85.0,Mike's Rentals,,,,False
SKU0005,14k Rice Equipmen...,85.0,Fabick Rents,,,,False
SKU0006,16' Big Tex 14K D...,150.0,Sunbelt Rentals,,,,False
SKU0006,16' Big Tex 14K D...,150.0,United Rentals,,,,False
SKU0006,16' Big Tex 14K D...,150.0,Farmington Rental,,,,False
SKU0006,16' Big Tex 14K D...,150.0,Mike's Rentals,,,,False
SKU0006,16' Big Tex 14K D...,150.0,Fabick Rents,,,,False
SKU0007,16' Enclosed Carg...,120.0,Sunbelt Rentals,,,,False
SKU0007,16' Enclosed Carg...,120.0,United Rentals,,,,False
SKU0007,16' Enclosed Carg...,120.0,Farmington Rental,,,,False
SKU0007,16' Enclosed Carg...,120.0,Mike's Rentals,,,,False
SKU0007,16' Enclosed Carg...,120.0,Fabick Rents,,,,False
SKU0008,20' Genie Single ...,125.0,Sunbelt Rentals,,,,False
SKU0008,20' Genie Single ...,125.0,United Rentals,,,,False
SKU0008,20' Genie Single ...,125.0,Farmington Rental,,,,False
SKU0008,20' Genie Single ...,125.0,Mike's Rentals,,,,False
SKU0008,20' Genie Single ...,125.0,Fabick Rents,,,,False
SKU0009,20' TILT RICE TRA...,95.0,Sunbelt Rentals,,,,False
SKU0009,20' TILT RICE TRA...,95.0,United Rentals,,,,False
SKU0009,20' TILT RICE TRA...,95.0,Farmington Rental,,,,False
SKU0009,20' TILT RICE TRA...,95.0,Mike's Rentals,,,,False
SKU0009,20' TILT RICE TRA...,95.0,Fabick Rents,,,,False
SKU0010,24' Enclosed Carg...,140.0,Sunbelt Rentals,,,,False
SKU0010,24' Enclosed Carg...,140.0,United Rentals,,,,False
SKU0010,24' Enclosed Carg...,140.0,Farmington Rental,,,,False
SKU0010,24' Enclosed Carg...,140.0,Mike's Rentals,,,,False
SKU0010,24' Enclosed Carg...,140.0,Fabick Rents,,,,False
SKU0011,3 PT 5' Box Blade,85.0,Sunbelt Rentals,,,,False
SKU0011,3 PT 5' Box Blade,85.0,United Rentals,,,,False
SKU0011,3 PT 5' Box Blade,85.0,Farmington Rental,,,,False
SKU0011,3 PT 5' Box Blade,85.0,Mike's Rentals,,,,False
SKU0011,3 PT 5' Box Blade,85.0,Fabick Rents,,,,False
SKU0012,3 PT 6' Disc,60.0,Sunbelt Rentals,,,,False
SKU0012,3 PT 6' Disc,60.0,United Rentals,,,,False
SKU0012,3 PT 6' Disc,60.0,Farmington Rental,,,,False
SKU0012,3 PT 6' Disc,60.0,Mike's Rentals,,,,False
SKU0012,3 PT 6' Disc,60.0,Fabick Rents,,,,False
SKU0013,3 Pt Broadcast Se...,60.0,Sunbelt Rentals,,,,False
SKU0013,3 Pt Broadcast Se...,60.0,United Rentals,,,,False
SKU0013,3 Pt Broadcast Se...,60.0,Farmington Rental,,,,False
SKU0013,3 Pt Broadcast Se...,60.0,Mike's Rentals,,,,False
SKU0013,3 Pt Broadcast Se...,60.0,Fabick Rents,,,,False
SKU0014,3-Point Hitch Auger,95.0,Sunbelt Rentals,,,,False
SKU0014,3-Point Hitch Auger,95.0,United Rentals,,,,False
SKU0014,3-Point Hitch Auger,95.0,Farmington Rental,,,,False
SKU0014,3-Point Hitch Auger,95.0,Mike's Rentals,,,,False
SKU0014,3-Point Hitch Auger,95.0,Fabick Rents,,,,False
SKU0015,3-Point Rock Rake,85.0,Sunbelt Rentals,,,,False
SKU0015,3-Point Rock Rake,85.0,United Rentals,,,,False
SKU0015,3-Point Rock Rake,85.0,Farmington Rental,,,,False
SKU0015,3-Point Rock Rake,85.0,Mike's Rentals,,,,False
SKU0015,3-Point Rock Rake,85.0,Fabick Rents,,,,False
SKU0016,"3/4"" Air Compreso...",20.0,Sunbelt Rentals,,,,False
SKU0016,"3/4"" Air Compreso...",20.0,United Rentals,,,,False
SKU0016,"3/4"" Air Compreso...",20.0,Farmington Rental,,,,False
SKU0016,"3/4"" Air Compreso...",20.0,Mike's Rentals,,,,False
SKU0016,"3/4"" Air Compreso...",20.0,Fabick Rents,,,,False
SKU0017,32' Fiberglass Ex...,45.0,Sunbelt Rentals,,,,False
SKU0017,32' Fiberglass Ex...,45.0,United Rentals,,,,False
SKU0017,32' Fiberglass Ex...,45.0,Farmington Rental,,,,False
SKU0017,32' Fiberglass Ex...,45.0,Mike's Rentals,,,,False
SKU0017,32' Fiberglass Ex...,45.0,Fabick Rents,,,,False
SKU0018,32' Skyjack 4632 ...,185.0,Sunbelt Rentals,,,,False
SKU0018,32' Skyjack 4632 ...,185.0,United Rentals,,,,False
SKU0018,32' Skyjack 4632 ...,185.0,Farmington Rental,,,,False
SKU0018,32' Skyjack 4632 ...,185.0,Mike's Rentals,,,,False
SKU0018,32' Skyjack 4632 ...,185.0,Fabick Rents,,,,False
SKU0019,4 Wheel Furniture...,10.0,Sunbelt Rentals,,,,False
SKU0019,4 Wheel Furniture...,10.0,United Rentals,,,,False
SKU0019,4 Wheel Furniture...,10.0,Farmington Rental,,,,False
SKU0019,4 Wheel Furniture...,10.0,Mike's Rentals,,,,False
SKU0019,4 Wheel Furniture...,10.0,Fabick Rents,,,,False
SKU0020,40' BIG TEX 25GN ...,205.0,Sunbelt Rentals,,,,False
SKU0020,40' BIG TEX 25GN ...,205.0,United Rentals,,,,False
SKU0020,40' BIG TEX 25GN ...,205.0,Farmington Rental,,,,False
SKU0020,40' BIG TEX 25GN ...,205.0,Mike's Rentals,,,,False
SKU0020,40' BIG TEX 25GN ...,205.0,Fabick Rents,,,,False
SKU0021,40' BIG TEX 25GN ...,205.0,Sunbelt Rentals,,,,False
SKU0021,40' BIG TEX 25GN ...,205.0,United Rentals,,,,False
SKU0021,40' BIG TEX 25GN ...,205.0,Farmington Rental,,,,False
SKU0021,40' BIG TEX 25GN ...,205.0,Mike's Rentals,,,,False
SKU0021,40' BIG TEX 25GN ...,205.0,Fabick Rents,,,,False
SKU0022,5' 3 PT Bush Hog,90.0,Sunbelt Rentals,,,,False
SKU0022,5' 3 PT Bush Hog,90.0,United Rentals,,,,False
SKU0022,5' 3 PT Bush Hog,90.0,Farmington Rental,,,,False
SKU0022,5' 3 PT Bush Hog,90.0,Mike's Rentals,,,,False
SKU0022,5' 3 PT Bush Hog,90.0,Fabick Rents,,,,False
SKU0023,6' Box Blade Atta...,95.0,Sunbelt Rentals,,,,False
SKU0023,6' Box Blade Atta...,95.0,United Rentals,,,,False
SKU0023,6' Box Blade Atta...,95.0,Farmington Rental,,,,False
SKU0023,6' Box Blade Atta...,95.0,Mike's Rentals,,,,False
SKU0023,6' Box Blade Atta...,95.0,Fabick Rents,,,,False
SKU0024,9000W Portable Ge...,85.0,Sunbelt Rentals,,,,False
SKU0024,9000W Portable Ge...,85.0,United Rentals,,,,False
SKU0024,9000W Portable Ge...,85.0,Farmington Rental,,,,False
SKU0024,9000W Portable Ge...,85.0,Mike's Rentals,,,,False
SKU0024,9000W Portable Ge...,85.0,Fabick Rents,,,,False
SKU0025,Air Compressor Ho...,10.0,Sunbelt Rentals,,,,False
SKU0025,Air Compressor Ho...,10.0,United Rentals,,,,False
SKU0025,Air Compressor Ho...,10.0,Farmington Rental,,,,False
SKU0025,Air Compressor Ho...,10.0,Mike's Rentals,,,,False
SKU0025,Air Compressor Ho...,10.0,Fabick Rents,,,,False
SKU0026,Air Hose,10.0,Sunbelt Rentals,,,,False
SKU0026,Air Hose,10.0,United Rentals,,,,False
SKU0026,Air Hose,10.0,Farmington Rental,,,,False
SKU0026,Air Hose,10.0,Mike's Rentals,,,,False
SKU0026,Air Hose,10.0,Fabick Rents,,,,False
SKU0027,American Sanders ...,65.0,Sunbelt Rentals,,,,False
SKU0027,American Sanders ...,65.0,United Rentals,,,,False
SKU0027,American Sanders ...,65.0,Farmington Rental,,,,False
SKU0027,American Sanders ...,65.0,Mike's Rentals,,,,False
SKU0027,American Sanders ...,65.0,Fabick Rents,,,,False
SKU0028,Barreto 3X4 Tilt ...,40.0,Sunbelt Rentals,,,,False
SKU0028,Barreto 3X4 Tilt ...,40.0,United Rentals,,,,False
SKU0028,Barreto 3X4 Tilt ...,40.0,Farmington Rental,,,,False
SKU0028,Barreto 3X4 Tilt ...,40.0,Mike's Rentals,,,,False
SKU0028,Barreto 3X4 Tilt ...,40.0,Fabick Rents,,,,False
SKU0029,Barreto 3X4 Tilt ...,40.0,Sunbelt Rentals,,,,False
SKU0029,Barreto 3X4 Tilt ...,40.0,United Rentals,,,,False
SKU0029,Barreto 3X4 Tilt ...,40.0,Farmington Rental,,,,False
SKU0029,Barreto 3X4 Tilt ...,40.0,Mike's Rentals,,,,False
SKU0029,Barreto 3X4 Tilt ...,40.0,Fabick Rents,,,,False
SKU0030,Bauer Heat Gun,10.0,Sunbelt Rentals,,,,False
SKU0030,Bauer Heat Gun,10.0,United Rentals,,,,False
SKU0030,Bauer Heat Gun,10.0,Farmington Rental,,,,False
SKU0030,Bauer Heat Gun,10.0,Mike's Rentals,,,,False
SKU0030,Bauer Heat Gun,10.0,Fabick Rents,,,,False
SKU0031,Bauer Jack Hammer,85.0,Sunbelt Rentals,,,,False
SKU0031,Bauer Jack Hammer,85.0,United Rentals,,,,False
SKU0031,Bauer Jack Hammer,85.0,Farmington Rental,,,,False
SKU0031,Bauer Jack Hammer,85.0,Mike's Rentals,,,,False
SKU0031,Bauer Jack Hammer,85.0,Fabick Rents,,,,False
SKU0032,Billy Goat Plugr ...,65.0,Sunbelt Rentals,,,,False
SKU0032,Billy Goat Plugr ...,65.0,United Rentals,,,,False
SKU0032,Billy Goat Plugr ...,65.0,Farmington Rental,,,,False
SKU0032,Billy Goat Plugr ...,65.0,Mike's Rentals,,,,False
SKU0032,Billy Goat Plugr ...,65.0,Fabick Rents,,,,False
SKU0033,Bobcat 553 Skid S...,225.0,Sunbelt Rentals,,,,False
SKU0033,Bobcat 553 Skid S...,225.0,United Rentals,,,,False
SKU0033,Bobcat 553 Skid S...,225.0,Farmington Rental,,,,False
SKU0033,Bobcat 553 Skid S...,225.0,Mike's Rentals,,,,False
SKU0033,Bobcat 553 Skid S...,225.0,Fabick Rents,,,,False
SKU0034,Bobcat Dingo Jack...,185.0,Sunbelt Rentals,,,,False
SKU0034,Bobcat Dingo Jack...,185.0,United Rentals,,,,False
SKU0034,Bobcat Dingo Jack...,185.0,Farmington Rental,,,,False
SKU0034,Bobcat Dingo Jack...,185.0,Mike's Rentals,,,,False
SKU0034,Bobcat Dingo Jack...,185.0,Fabick Rents,,,,False
SKU0035,Bobcat Log Grappl...,125.0,Sunbelt Rentals,,,,False
SKU0035,Bobcat Log Grappl...,125.0,United Rentals,,,,False
SKU0035,Bobcat Log Grappl...,125.0,Farmington Rental,,,,False
SKU0035,Bobcat Log Grappl...,125.0,Mike's Rentals,,,,False
SKU0035,Bobcat Log Grappl...,125.0,Fabick Rents,,,,False
SKU0036,Bobcat Skid Steer...,190.0,Sunbelt Rentals,,,,False
SKU0036,Bobcat Skid Steer...,190.0,United Rentals,,,,False
SKU0036,Bobcat Skid Steer...,190.0,Farmington Rental,,,,False
SKU0036,Bobcat Skid Steer...,190.0,Mike's Rentals,,,,False
SKU0036,Bobcat Skid Steer...,190.0,Fabick Rents,,,,False
SKU0037,Bomag 55W Vibrato...,105.0,Sunbelt Rentals,,,,False
SKU0037,Bomag 55W Vibrato...,105.0,United Rentals,,,,False
SKU0037,Bomag 55W Vibrato...,105.0,Farmington Rental,,,,False
SKU0037,Bomag 55W Vibrato...,105.0,Mike's Rentals,,,,False
SKU0037,Bomag 55W Vibrato...,105.0,Fabick Rents,,,,False
SKU0038,Bomag Plate Compa...,55.0,Sunbelt Rentals,,,,False
SKU0038,Bomag Plate Compa...,55.0,United Rentals,,,,False
SKU0038,Bomag Plate Compa...,55.0,Farmington Rental,,,,False
SKU0038,Bomag Plate Compa...,55.0,Mike's Rentals,,,,False
SKU0038,Bomag Plate Compa...,55.0,Fabick Rents,,,,False
SKU0039,Bostitch Nail Gun,20.0,Sunbelt Rentals,,,,False
SKU0039,Bostitch Nail Gun,20.0,United Rentals,,,,False
SKU0039,Bostitch Nail Gun,20.0,Farmington Rental,,,,False
SKU0039,Bostitch Nail Gun,20.0,Mike's Rentals,,,,False
SKU0039,Bostitch Nail Gun,20.0,Fabick Rents,,,,False
SKU0040,Bostitch Pancake ...,20.0,Sunbelt Rentals,,,,False
SKU0040,Bostitch Pancake ...,20.0,United Rentals,,,,False
SKU0040,Bostitch Pancake ...,20.0,Farmington Rental,,,,False
SKU0040,Bostitch Pancake ...,20.0,Mike's Rentals,,,,False
SKU0040,Bostitch Pancake ...,20.0,Fabick Rents,,,,False
SKU0041,Box Blade - 10' P...,95.0,Sunbelt Rentals,,,,False
SKU0041,Box Blade - 10' P...,95.0,United Rentals,,,,False
SKU0041,Box Blade - 10' P...,95.0,Farmington Rental,,,,False
SKU0041,Box Blade - 10' P...,95.0,Mike's Rentals,,,,False
SKU0041,Box Blade - 10' P...,95.0,Fabick Rents,,,,False
SKU0042,Branson Tractor 2...,180.0,Sunbelt Rentals,,,,False
SKU0042,Branson Tractor 2...,180.0,United Rentals,,,,False
SKU0042,Branson Tractor 2...,180.0,Farmington Rental,,,,False
SKU0042,Branson Tractor 2...,180.0,Mike's Rentals,,,,False
SKU0042,Branson Tractor 2...,180.0,Fabick Rents,,,,False
SKU0043,Carpet Knee Kicker,15.0,Sunbelt Rentals,,,,False
SKU0043,Carpet Knee Kicker,15.0,United Rentals,,,,False
SKU0043,Carpet Knee Kicker,15.0,Farmington Rental,,,,False
SKU0043,Carpet Knee Kicker,15.0,Mike's Rentals,,,,False
SKU0043,Carpet Knee Kicker,15.0,Fabick Rents,,,,False
SKU0044,Concrete Float - 4',15.0,Sunbelt Rentals,,,,False
SKU0044,Concrete Float - 4',15.0,United Rentals,,,,False
SKU0044,Concrete Float - 4',15.0,Farmington Rental,,,,False
SKU0044,Concrete Float - 4',15.0,Mike's Rentals,,,,False
SKU0044,Concrete Float - 4',15.0,Fabick Rents,,,,False
SKU0045,"Concrete Float -3'9""",15.0,Sunbelt Rentals,,,,False
SKU0045,"Concrete Float -3'9""",15.0,United Rentals,,,,False
SKU0045,"Concrete Float -3'9""",15.0,Farmington Rental,,,,False
SKU0045,"Concrete Float -3'9""",15.0,Mike's Rentals,,,,False
SKU0045,"Concrete Float -3'9""",15.0,Fabick Rents,,,,False
SKU0046,Concrete Jitterbu...,20.0,Sunbelt Rentals,,,,False
SKU0046,Concrete Jitterbu...,20.0,United Rentals,,,,False
SKU0046,Concrete Jitterbu...,20.0,Farmington Rental,,,,False
SKU0046,Concrete Jitterbu...,20.0,Mike's Rentals,,,,False
SKU0046,Concrete Jitterbu...,20.0,Fabick Rents,,,,False
SKU0047,Concrete Vibratin...,60.0,Sunbelt Rentals,,,,False
SKU0047,Concrete Vibratin...,60.0,United Rentals,,,,False
SKU0047,Concrete Vibratin...,60.0,Farmington Rental,,,,False
SKU0047,Concrete Vibratin...,60.0,Mike's Rentals,,,,False
SKU0047,Concrete Vibratin...,60.0,Fabick Rents,,,,False
SKU0048,Concrete Vibrator,80.0,Sunbelt Rentals,,,,False
SKU0048,Concrete Vibrator,80.0,United Rentals,,,,False
SKU0048,Concrete Vibrator,80.0,Farmington Rental,,,,False
SKU0048,Concrete Vibrator,80.0,Mike's Rentals,,,,False
SKU0048,Concrete Vibrator,80.0,Fabick Rents,,,,False
SKU0049,Cotton Candy Machine,40.0,Sunbelt Rentals,,,,False
SKU0049,Cotton Candy Machine,40.0,United Rentals,,,,False
SKU0049,Cotton Candy Machine,40.0,Farmington Rental,,,,False
SKU0049,Cotton Candy Machine,40.0,Mike's Rentals,,,,False
SKU0049,Cotton Candy Machine,40.0,Fabick Rents,,,,False
SKU0050,"Cub Cadet 22"" Rea...",60.0,Sunbelt Rentals,,,,False
SKU0050,"Cub Cadet 22"" Rea...",60.0,United Rentals,,,,False
SKU0050,"Cub Cadet 22"" Rea...",60.0,Farmington Rental,,,,False
SKU0050,"Cub Cadet 22"" Rea...",60.0,Mike's Rentals,,,,False
SKU0050,"Cub Cadet 22"" Rea...",60.0,Fabick Rents,,,,False
SKU0051,DeWalt Jackhammer,85.0,Sunbelt Rentals,,,,False
SKU0051,DeWalt Jackhammer,85.0,United Rentals,,,,False
SKU0051,DeWalt Jackhammer,85.0,Farmington Rental,,,,False
SKU0051,DeWalt Jackhammer,85.0,Mike's Rentals,,,,False
SKU0051,DeWalt Jackhammer,85.0,Fabick Rents,,,,False
SKU0052,Diamond Bush Hog ...,315.0,Sunbelt Rentals,,,,False
SKU0052,Diamond Bush Hog ...,315.0,United Rentals,,,,False
SKU0052,Diamond Bush Hog ...,315.0,Farmington Rental,,,,False
SKU0052,Diamond Bush Hog ...,315.0,Mike's Rentals,,,,False
SKU0052,Diamond Bush Hog ...,315.0,Fabick Rents,,,,False
SKU0053,Diamond C 14K Equ...,85.0,Sunbelt Rentals,,,,False
SKU0053,Diamond C 14K Equ...,85.0,United Rentals,,,,False
SKU0053,Diamond C 14K Equ...,85.0,Farmington Rental,,,,False
SKU0053,Diamond C 14K Equ...,85.0,Mike's Rentals,,,,False
SKU0053,Diamond C 14K Equ...,85.0,Fabick Rents,,,,False
SKU0054,Dingo Forks Attac...,60.0,Sunbelt Rentals,,,,False
SKU0054,Dingo Forks Attac...,60.0,United Rentals,,,,False
SKU0054,Dingo Forks Attac...,60.0,Farmington Rental,,,,False
SKU0054,Dingo Forks Attac...,60.0,Mike's Rentals,,,,False
SKU0054,Dingo Forks Attac...,60.0,Fabick Rents,,,,False
SKU0055,Dingo Trencher At...,125.0,Sunbelt Rentals,,,,False
SKU0055,Dingo Trencher At...,125.0,United Rentals,,,,False
SKU0055,Dingo Trencher At...,125.0,Farmington Rental,,,,False
SKU0055,Dingo Trencher At...,125.0,Mike's Rentals,,,,False
SKU0055,Dingo Trencher At...,125.0,Fabick Rents,,,,False
SKU0056,Ditch Witch 1820 ...,140.0,Sunbelt Rentals,,,,False
SKU0056,Ditch Witch 1820 ...,140.0,United Rentals,,,,False
SKU0056,Ditch Witch 1820 ...,140.0,Farmington Rental,,,,False
SKU0056,Ditch Witch 1820 ...,140.0,Mike's Rentals,,,,False
SKU0056,Ditch Witch 1820 ...,140.0,Fabick Rents,,,,False
SKU0057,Ditch Witch HT25 ...,345.0,Sunbelt Rentals,,,,False
SKU0057,Ditch Witch HT25 ...,345.0,United Rentals,,,,False
SKU0057,Ditch Witch HT25 ...,345.0,Farmington Rental,,,,False
SKU0057,Ditch Witch HT25 ...,345.0,Mike's Rentals,,,,False
SKU0057,Ditch Witch HT25 ...,345.0,Fabick Rents,,,,False
SKU0058,Doolittle 12' SA ...,80.0,Sunbelt Rentals,,,,False
SKU0058,Doolittle 12' SA ...,80.0,United Rentals,,,,False
SKU0058,Doolittle 12' SA ...,80.0,Farmington Rental,,,,False
SKU0058,Doolittle 12' SA ...,80.0,Mike's Rentals,,,,False
SKU0058,Doolittle 12' SA ...,80.0,Fabick Rents,,,,False
SKU0059,Drywall and Sheet...,20.0,Sunbelt Rentals,,,,False
SKU0059,Drywall and Sheet...,20.0,United Rentals,,,,False
SKU0059,Drywall and Sheet...,20.0,Farmington Rental,,,,False
SKU0059,Drywall and Sheet...,20.0,Mike's Rentals,,,,False
SKU0059,Drywall and Sheet...,20.0,Fabick Rents,,,,False
SKU0060,Drywall Sander an...,50.0,Sunbelt Rentals,,,,False
SKU0060,Drywall Sander an...,50.0,United Rentals,,,,False
SKU0060,Drywall Sander an...,50.0,Farmington Rental,,,,False
SKU0060,Drywall Sander an...,50.0,Mike's Rentals,,,,False
SKU0060,Drywall Sander an...,50.0,Fabick Rents,,,,False
SKU0061,Drywall Sheetrock...,35.0,Sunbelt Rentals,,,,False
SKU0061,Drywall Sheetrock...,35.0,United Rentals,,,,False
SKU0061,Drywall Sheetrock...,35.0,Farmington Rental,,,,False
SKU0061,Drywall Sheetrock...,35.0,Mike's Rentals,,,,False
SKU0061,Drywall Sheetrock...,35.0,Fabick Rents,,,,False
SKU0062,Drywall Sheetrock...,35.0,Sunbelt Rentals,,,,False
SKU0062,Drywall Sheetrock...,35.0,United Rentals,,,,False
SKU0062,Drywall Sheetrock...,35.0,Farmington Rental,,,,False
SKU0062,Drywall Sheetrock...,35.0,Mike's Rentals,,,,False
SKU0062,Drywall Sheetrock...,35.0,Fabick Rents,,,,False
SKU0063,EDCO Tile Scraper,80.0,Sunbelt Rentals,,,,False
SKU0063,EDCO Tile Scraper,80.0,United Rentals,,,,False
SKU0063,EDCO Tile Scraper,80.0,Farmington Rental,,,,False
SKU0063,EDCO Tile Scraper,80.0,Mike's Rentals,,,,False
SKU0063,EDCO Tile Scraper,80.0,Fabick Rents,,,,False
SKU0064,Electric Eel Sewe...,135.0,Sunbelt Rentals,,,,False
SKU0064,Electric Eel Sewe...,135.0,United Rentals,,,,False
SKU0064,Electric Eel Sewe...,135.0,Farmington Rental,,,,False
SKU0064,Electric Eel Sewe...,135.0,Mike's Rentals,,,,False
SKU0064,Electric Eel Sewe...,135.0,Fabick Rents,,,,False
SKU0065,FFC Preparator So...,185.0,Sunbelt Rentals,,,,False
SKU0065,FFC Preparator So...,185.0,United Rentals,,,,False
SKU0065,FFC Preparator So...,185.0,Farmington Rental,,,,False
SKU0065,FFC Preparator So...,185.0,Mike's Rentals,,,,False
SKU0065,FFC Preparator So...,185.0,Fabick Rents,,,,False
SKU0066,Floor Drying Fan,25.0,Sunbelt Rentals,,,,False
SKU0066,Floor Drying Fan,25.0,United Rentals,,,,False
SKU0066,Floor Drying Fan,25.0,Farmington Rental,,,,False
SKU0066,Floor Drying Fan,25.0,Mike's Rentals,,,,False
SKU0066,Floor Drying Fan,25.0,Fabick Rents,,,,False
SKU0067,Fork Extensions - 6',60.0,Sunbelt Rentals,,,,False
SKU0067,Fork Extensions - 6',60.0,United Rentals,,,,False
SKU0067,Fork Extensions - 6',60.0,Farmington Rental,,,,False
SKU0067,Fork Extensions - 6',60.0,Mike's Rentals,,,,False
SKU0067,Fork Extensions - 6',60.0,Fabick Rents,,,,False
SKU0068,Gas-Powered Press...,50.0,Sunbelt Rentals,,,,False
SKU0068,Gas-Powered Press...,50.0,United Rentals,,,,False
SKU0068,Gas-Powered Press...,50.0,Farmington Rental,,,,False
SKU0068,Gas-Powered Press...,50.0,Mike's Rentals,,,,False
SKU0068,Gas-Powered Press...,50.0,Fabick Rents,,,,False
SKU0069,Gehl R6-34 Teleha...,345.0,Sunbelt Rentals,,,,False
SKU0069,Gehl R6-34 Teleha...,345.0,United Rentals,,,,False
SKU0069,Gehl R6-34 Teleha...,345.0,Farmington Rental,,,,False
SKU0069,Gehl R6-34 Teleha...,345.0,Mike's Rentals,,,,False
SKU0069,Gehl R6-34 Teleha...,345.0,Fabick Rents,,,,False
SKU0070,Gehl RS5-19 5500#...,300.0,Sunbelt Rentals,,,,False
SKU0070,Gehl RS5-19 5500#...,300.0,United Rentals,,,,False
SKU0070,Gehl RS5-19 5500#...,300.0,Farmington Rental,,,,False
SKU0070,Gehl RS5-19 5500#...,300.0,Mike's Rentals,,,,False
SKU0070,Gehl RS5-19 5500#...,300.0,Fabick Rents,,,,False
SKU0071,Generac Magnum 25...,285.0,Sunbelt Rentals,,,,False
SKU0071,Generac Magnum 25...,285.0,United Rentals,,,,False
SKU0071,Generac Magnum 25...,285.0,Farmington Rental,,,,False
SKU0071,Generac Magnum 25...,285.0,Mike's Rentals,,,,False
SKU0071,Generac Magnum 25...,285.0,Fabick Rents,,,,False
SKU0072,Genie 1930 2 Man ...,165.0,Sunbelt Rentals,,,,False
SKU0072,Genie 1930 2 Man ...,165.0,United Rentals,,,,False
SKU0072,Genie 1930 2 Man ...,165.0,Farmington Rental,,,,False
SKU0072,Genie 1930 2 Man ...,165.0,Mike's Rentals,,,,False
SKU0072,Genie 1930 2 Man ...,165.0,Fabick Rents,,,,False
SKU0073,Genie 1930 Two Ma...,165.0,Sunbelt Rentals,,,,False
SKU0073,Genie 1930 Two Ma...,165.0,United Rentals,,,,False
SKU0073,Genie 1930 Two Ma...,165.0,Farmington Rental,,,,False
SKU0073,Genie 1930 Two Ma...,165.0,Mike's Rentals,,,,False
SKU0073,Genie 1930 Two Ma...,165.0,Fabick Rents,,,,False
SKU0074,Genie 4390 Rough ...,225.0,Sunbelt Rentals,,,,False
SKU0074,Genie 4390 Rough ...,225.0,United Rentals,,,,False
SKU0074,Genie 4390 Rough ...,225.0,Farmington Rental,,,,False
SKU0074,Genie 4390 Rough ...,225.0,Mike's Rentals,,,,False
